LU_ID,BMP,Land-Use,Sub Crop,ContouringTerracingIsOn,PerAcreORPerCell,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type ,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours, Value ,Context and/ or Calculations ,Description,Citation
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,-4.7,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,-3.5,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,1.27,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,1.3,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,1.47,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,1.33,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,11.31,"$0.30/lb * 131 lbs/acre
//Kentucky comparison budgets show 28.79% increase in operator labor for no-till", nitrogen price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Phosphate ,,-2.65,"$0.39/lb * 68 lbs/acre
//Kentucky comparison budgets show 10.00% reduction in operator labor for no-till", phosphate price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,18.67,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,23.67,Increased usage. //Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
4,No-Till,Conservation Soybean,,,Acre,,,1,8,Annual,Constant,Labor,Variable,Labor - Operator,-0.29,-4.09,2.25 hrs/acre * $14/hr *  12.99% savings   //Kentucky comparison budgets show 12.99% reduction in operator labor for no-till, labor wage ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,-4.7,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,-3.5,None when no-till active., n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,1.27,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,1.3,//Kentucky comparison budgets show 28.79% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,1.47,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,1.33,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, n/a ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,11.31,"$0.30/lb * 131 lbs/acre
//Kentucky comparison budgets show 28.79% increase in operator labor for no-till", nitrogen price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Phosphate ,,-2.65,"$0.39/lb * 68 lbs/acre
//Kentucky comparison budgets show 10.00% reduction in operator labor for no-till", phosphate price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,18.67,//Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,23.67,Increased usage. //Kentucky comparison budgets show 66.67% increase in operator labor for no-till, herbicide price ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,No-Till,Conservation Corn,,,Acre,,,1,8,Annual,Constant,Labor,Fixed,Labor - Operator,-0.29,-4.09,2.25 hrs/acre * $14/hr *  12.99% savings   //Kentucky comparison budgets show 12.99% reduction in operator labor for no-till, labor wage ,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Seed - Rye,,10,$10/acre,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,20,Annual,Preharvest,Custom ,Variable,"Labor - seeding or drilling, custom rate",,15,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,20,Annual,Preharvest,Labor,Variable,Operator labor for seeding or drilling,0.12,1.44,"3 hours per 25 acres, $12/hr",Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Additional herbicide to kill cereal rye cover crop,,5,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Applying herbicide to rye cover crop - VARIABLE COST to operator,,7,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,7,Annual,Preharvest,Labor,Variable,Operator labor - applying herbicide,0.08,24,2 hours * $12/hr,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Cover Crops,Conservation Corn,,,Acre,,,1,,Annual,Other,Other,Variable,Miscellanous other costs,,5,$5 miscellaneous costs for cover crops per acre,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Seed - Rye,,10,$10/acre,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,20,Annual,Preharvest,Custom,Variable,"Labor - seeding or drilling, custom rate",,15,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,20,Annual,Preharvest,Labor,Variable,Operator labor for seeding or drilling,0.12,1.44,"3 hours per 25 acres, $12/hr",Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Input,Variable,Additional herbicide to kill cereal rye cover crop,,5,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Applying herbicide to rye cover crop - VARIABLE COST to operator,,7,,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,7,Annual,Preharvest,Labor,Variable,Operator labor - applying herbicide,0.08,24,2 hours * $12/hr,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
4,Cover Crops,Conservation Soybean,,,Acre,,,1,,Annual,Other,Other,Fixed,Miscellanous other costs,,5,$5 miscellaneous costs for cover crops per acre,Excel doc saved in folder,https://www.extension.iastate.edu/agdm/crops/html/a1-91.html
2,Grassed Waterways,Conservation Corn,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Seed cost - Legume (alfalfa),,$77.31 ,Assume reseed every 30 years 18 lbs alfalfa seed. 77.31,Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
2,Grassed Waterways,Conservation Corn,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Seed cost - Grass mix,,$56.61 ,"Assume reseed every 30 years. 56.61
Mix of 10 lbs alfalfa, 8 lbs brome, 3 lbs orchardgrass per acre",Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
2,Grassed Waterways,Conservation Corn,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Seed cost - oats,,$16.96 ,Assume reseed every 30 years.  2 lbs oats per acre.   16.96,Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
2,Grassed Waterways,Conservation Corn,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Equipment - Drilling,,$15.42 ,Assume reseed every 30 years.  15.42,Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
2,Grassed Waterways,Conservation Corn,,,Acre,,N,1,17,Annual,Preharvest,Labor,Variable,Mowing,10.1,$101.00 ,Based on mower-conditioner  - equipment component only x1 cut.  101,,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
2,Grassed Waterways,Conservation Corn,,,Acre,,N,1,,Annual,Preharvest,Equipment,Variable,Mowing,,$14.67 ,"Based on mower-conditioner  - consider reevaluting for Iowa custom rates $10/hr, 0.148 hrs/acre, 1 cuts",,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
4,Grassed Waterways,Conservation Soybean,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Seed cost - Legume (alfalfa),,$77.31 ,Assume reseed every 30 years 18 lbs alfalfa seed. 77.31,Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
4,Grassed Waterways,Conservation Soybean,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Seed cost - Grass mix,,$56.61 ,"Assume reseed every 30 years. 56.61
Mix of 10 lbs alfalfa, 8 lbs brome, 3 lbs orchardgrass per acre",Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
4,Grassed Waterways,Conservation Soybean,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Seed cost - oats,,$16.96 ,Assume reseed every 30 years.  2 lbs oats per acre.   16.96,Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
4,Grassed Waterways,Conservation Soybean,,,Acre,,N,1,,Annual,Establishment,Input,Variable,Equipment - Drilling,,$15.42 ,Assume reseed every 30 years.  15.42,Area of grassed waterways AND terraces should not exceed 10%. Core grassed waterways budget assumes covers 10% of land area. Numbers adjusted here to 10% - 5.46% = 4.54%,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553
4,Grassed Waterways,Conservation Soybean,,,Acre,,N,1,17,Annual,Preharvest,Labor,Variable,Mowing,10.1,$101.00 ,Based on mower-conditioner  - equipment component only x1 cut.  101,,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
4,Grassed Waterways,Conservation Soybean,,,Acre,,N,1,,Annual,Preharvest,Equipment,Variable,Mowing,,$14.67 ,"Based on mower-conditioner  - consider reevaluting for Iowa custom rates $10/hr, 0.148 hrs/acre, 1 cuts",,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
2,Contours,Conservation Corn,,,Acre,,,1,21,Annual,Establishment,Custom,Variable,Surveying,,$29.12 ,,Custom hire rate,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
2,Contours,Conservation Corn,,,Acre,,,1,21,Annual,Establishment,Custom,Variable,Earth Moving - Grassed back,,$280.70 ,112.2796 ft/acre * $2.5/ft,Custom hire rate,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
2,Contours,Conservation Corn,,,Acre,,,1,21,Annual,Establishment,Custom,Variable,Earth Moving - Narrow base,,$241.40 ,112.2796 ft/acre * $2.15/ft,Custom hire rate,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
2,Contours,Conservation Corn,,,Acre,,,1,20,Annual,Establishment,Custom,Variable,Equipment - Drilling,,$11.90 ,,n/a,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
4,Contours,Conservation Soybean,,,Acre,,,1,21,Annual,Establishment,Custom,Variable,Surveying,,$29.12 ,,Custom hire rate,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
4,Contours,Conservation Soybean,,,Acre,,,1,21,Annual,Establishment,Custom,Variable,Earth Moving - Grassed back,,$280.70 ,112.2796 ft/acre * $2.5/ft,Custom hire rate,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
4,Contours,Conservation Soybean,,,Acre,,,1,21,Annual,Establishment,Custom,Variable,Earth Moving - Narrow base,,$241.40 ,112.2796 ft/acre * $2.15/ft,Custom hire rate,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
4,Contours,Conservation Soybean,,,Acre,,,1,20,Annual,Establishment,Custom,Variable,Equipment - Drilling,,$11.90 ,,n/a,https://www.extension.iastate.edu/agdm/crops/html/a1-41.html
4,Buffers,Conservation Soybean,,,Cell,,Y,1,,Annual,Establishment,Input,Variable,Seed cost - grass mix,,11.31,"$56.55/acre * 10 acres / 50 year lifespan
Assume NO FERTILIZER in Iowa",,
4,Buffers,Conservation Soybean,,,Cell,,Y,1,20,Annual,Establishment,Custom,Variable,Equipment - drilling,,3.07,$15.35/acre * 10 acres / 50 year lifespan,,
4,Buffers,Conservation Soybean,,,Cell,,Y,1,,Annual,Establishment,Input,Variable,Trees/shrubs - dogwood,,1.91,$12.50/100ft * 762.1ft/10 acre cell / 50 year lifespan,,
4,Buffers,Conservation Soybean,,,Cell,,Y,1,,Annual,Establishment,Input,Variable,Trees/shrubs - bur oak/maple,,3.81,$25.00/100ft * 762.1ft/10 acre cell / 50 year lifespan,,
4,Buffers,Conservation Soybean,,,Cell,,Y,1,,Annual,Other,Other,Variable,Occasional repairs,,2.5,Per acre annual repair budget estimate,,
4,Buffers,Conservation Soybean,,,Cell,,Y,1,18,Annual,Preharvest,Labor,Variable,Mowing,0.08,0.78,"Based on mower-conditioner  - consider reevaluting for Iowa custom rates $10/hr, 0.148 hrs/acre, 1 cuts",,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
4,Buffers,Conservation Soybean,,,Cell,,Y,1,,Annual,Preharvest,Equipment,Variable,Mowing,,5.3,Based on mower-conditioner  - equipment component only x1 cut,,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
2,Buffers,Conservation Corn,,,Cell,,Y,1,,Annual,Establishment,Input,Variable,Seed cost - grass mix,,11.31,"$56.55/acre * 10 acres / 50 year lifespan
Assume NO FERTILIZER in Iowa",,
2,Buffers,Conservation Corn,,,Cell,,Y,1,20,Annual,Establishment,Custom,Variable,Equipment - drilling,,3.07,$15.35/acre * 10 acres / 50 year lifespan,,
2,Buffers,Conservation Corn,,,Cell,,Y,1,,Annual,Establishment,Input,Variable,Trees/shrubs - dogwood,,1.91,$12.50/100ft * 762.1ft/10 acre cell / 50 year lifespan,,
2,Buffers,Conservation Corn,,,Cell,,Y,1,,Annual,Establishment,Input,Variable,Trees/shrubs - bur oak/maple,,3.81,$25.00/100ft * 762.1ft/10 acre cell / 50 year lifespan,,
2,Buffers,Conservation Corn,,,Cell,,Y,1,,Annual,Other,Other,Variable,Occasional repairs,,2.5,Per acre annual repair budget estimate,,
2,Buffers,Conservation Corn,,,Cell,,Y,1,18,Annual,Preharvest,Labor,Variable,Mowing,0.08,0.78,"Based on mower-conditioner  - consider reevaluting for Iowa custom rates $10/hr, 0.148 hrs/acre, 1 cuts",,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
2,Buffers,Conservation Corn,,,Cell,,Y,1,,Annual,Preharvest,Equipment,Variable,Mowing,,5.3,Based on mower-conditioner  - equipment component only x1 cut,,"Attached article Manatt et al. 2013 Environ.Res. Lett.
https://www.nrcs.usda.gov/wps/portal/nrcs/detail/ks/newsroom/features/?cid=nrcs142p2_033553 "
